BFrequency,IConcreteness,IFrequency,ILetters,IPhonNeighbour,IPhonemes,ISyllables,Initial,POS,TConcreteness,TFrequency,TLetters,TPOS,TPhonNeighbour,TPhonemes,TSyllables,Trailing,acc,accuracy,category,correct,correct_response,response_time,response_time_keyboard_response
206,1.91,35972,6,22,4,2,better,Adverb,1.48,137814,3,Adverb,23,2,1,now,96.77419355,96.77419355,word,1,[word_response],371,371
-,2.45,143429,3,36,3,1,did,Verb,-,-,7,-,-,5,-,clultch,96.82539683,96.82539683,word,1,[nonword_response],349,349
31,4.75,38892,3,43,3,1,men,Noun,3,3011,4,Verb,38,3,1,wore,96.875,96.875,word,1,[word_response],329,329
249,2.6,13715,4,31,4,1,sent,Verb,2.81,1089559,2,Pronoun,34,2,1,it,96.92307692,96.92307692,word,1,[word_response],389,389
-,3.25,724197,2,27,2,1,on,Preposition,-,-,7,-,-,5,-,whafths,96.96969697,96.96969697,word,1,[nonword_response],425,425
-,4.5,22689,4,44,3,1,line,Noun,-,-,8,-,-,4,-,wrighste,97.01492537,97.01492537,word,1,[nonword_response],431,431
753,3.87,40739,4,19,3,1,five,Number,3.36,33071,4,Noun,35,3,1,days,97.05882353,97.05882353,word,1,[word_response],376,376
-,3.87,40739,4,19,3,1,five,Number,-,-,8,-,-,6,-,greupths,97.10144928,97.10144928,word,1,[nonword_response],425,425
517,2.04,19548,4,27,3,1,gone,Verb,2.9,84076,7,Preposition,9,3,1,through,97.14285714,97.14285714,word,1,[word_response],367,367
1462,4.55,236321,3,50,3,1,can,Verb,2.58,68535,3,Verb,43,2,1,say,97.18309859,97.18309859,word,1,[word_response],409,409
-,4.79,37541,6,13,4,1,school,Noun,-,-,8,-,-,6,-,traupths,97.22222222,97.22222222,word,1,[nonword_response],432,432
-,2.93,22691,7,3,6,2,process,Noun,-,-,4,-,-,4,-,gwuf,97.26027397,97.26027397,word,1,[nonword_response],426,426
-,4.55,236321,3,50,3,1,can,Verb,-,-,6,-,-,4,-,klawmn,97.2972973,97.2972973,word,1,[nonword_response],457,457
-,2.6,13715,4,31,4,1,sent,Verb,-,-,5,-,-,4,-,krarm,97.33333333,97.33333333,word,1,[nonword_response],464,464
233,1.43,6187927,3,27,2,1,the,Article,3.19,6712,7,Verb,11,5,2,turning,97.36842105,97.36842105,word,1,[word_response],379,379
22,2.97,4523,4,45,3,1,sick,Adjective,4.11,695595,3,Pronoun,46,2,1,you,97.4025974,97.4025974,word,1,[word_response],397,397
